900046192;Морозов М.М.;Головино п., Улица не указана, Школьная, 0;0;0
900356842;данные отсутствуют;Владимир г., Садовая б-р, 121, 0;519;65.06
900356856;Смирнов В.В.;Бавлены п., Советская наб, 44, 143;519;0
900356882;Морозов М.М.;Ставрово п., Свободы мкр, Дом не указан, Квартира не указана;519;249.63
900356902;Алексеев А.А.;Бавлены п., Пионерская ул, 54, 118;519;118.45;3300000001 ХВС;0
900356918;Новиков Н.Н.;Телегино д., Молодежная ул, Дом не указан, Квартира не указана;519;509.02
900356936;Смирнов В.В.;Ставрово п., Пионерская мкр, 139, 103;519;245.47;3300000001 ХВС;0
900356952;Михайлов М.М.;Новоселка д., Строительная наб, 117А, 148;519;270.97;3300000001 ХВС;0
900356978;данные отсутствуют;Лакинск г., Гагарина тер, 102, 0;519;332.27
900357035;Новиков Н.Н.;Кольчугино г., Лесная пл, Дом не указан, Квартира не указана;519;181.95
900357040;Морозов М.М.;Камешково г., Ленина мкр, 42, 58;519;0
900357049;Фёдоров Ф.Ф.;Вязники г., Гагарина шоссе, 91, 83;519;0
900357054;данные отсутствуют;Телегино д., Строительная пр-кт, 81, 0;519;429.14
900357062;Сидоров С.С.;Новоселка д., Советская пр-кт, 89, 20;519;0
900357066;Алексеев А.А.;Владимир г., Улица не указана, Первомайская, 0;0;0
900357117;Сидоров С.С.;Ковров г., Свободы б-р, Дом не указан, Квартира не указана;519;283.45
900357123;Михайлов М.М.;Телегино д., Пионерская мкр, 96, 25;519;480.07;3300000001 ХВС;0
900357124;данные отсутствуют;Суздаль г., Советская шоссе, 75, 0;519;432.03
900357142;данные отсутствуют;Новоселка д., Полевая пер, 29, 0;519;131.30
900357170;данные отсутствуют;Бавлены п., Луговая ул, 74, 0;519;188.20
900357196;Егоров Е.Е.;Муром г., Мира пр-кт, Дом не указан, Квартира не указана;519;465.82
900357250;Кузнецов А.А.;Ковров г., Пушкина б-р, 31, 71;519;155.06;3300000001 ХВС;0
900357260;Фёдоров Ф.Ф.;Юрьевец п., Новая б-р, 42, 86;519;0
900357324;Егоров Е.Е.;Муром г., Полевая пл, 23, 73;519;0
900357334;Волков В.В.;Телегино д., Первомайская мкр, 47, 9;519;155.80;3300000001 ХВС;0
900357441;Смирнов В.В.;Телегино д., Советская б-р, Дом не указан, Квартира не указана;519;339.23
900357470;Семёнов С.С.;Гусь-Хрустальный г., Гагарина пер, Дом не указан, Квартира не указана;519;428.31
900357472;Волков В.В.;Гусь-Хрустальный г., Полевая пер, 134, 15;519;82.00;3300000001 ХВС;0
900357533;Кузнецов А.А.;Ковров г., Полевая пр-кт, 149, 0;519;115.52;3300000001 ХВС;0
900357535;Волков В.В.;Вязники г., Школьная пр-кт, Дом не указан, Квартира не указана;519;332.64
900357573;Смирнов В.В.;Боголюбово п., Садовая шоссе, Дом не указан, Квартира не указана;519;306.59
900357578;Лебедев Л.Л.;Юрьевец п., Свободы наб, 101, 81;519;127.23;3300000001 ХВС;0
900357592;Попов Д.Д.;Камешково г., Молодежная шоссе, Дом не указан, Квартира не указана;519;363.24
900357601;данные отсутствуют;Собинка г., Молодежная ул, 5, 0;519;485.48
900357679;Михайлов М.М.;Киржач г., Комсомольская б-р, 125, 148;519;0
900357681;Егоров Е.Е.;Ковров г., Гагарина пер, 107, 90;519;505.11;3300000001 ХВС;0
900357697;Михайлов М.М.;Ставрово п., Мира б-р, 146, 114;519;158.18;3300000001 ХВС;0
900357701;Алексеев А.А.;Камешково г., Молодежная наб, 71, 140;519;486.24;3300000001 ХВС;0
900357729;Фёдоров Ф.Ф.;Новоселка д., Гагарина пер, 20, 115;519;0
900357735;Михайлов М.М.;Бавлены п., Улица не указана, Центральная, 0;0;0
900357740;Сидоров С.С.;Семьинское с., Новая пр-кт, 68, 110;519;0
900357767;данные отсутствуют;Беречино д., Набережная мкр, 28, 0;519;272.23
900357770;Семёнов С.С.;Камешково г., Строительная шоссе, 15, 62;519;0
900357780;Фёдоров Ф.Ф.;Покров г., Набережная мкр, Дом не указан, Квартира не указана;519;453.09
900357835;Иванов И.И.;Головино п., Пушкина ул, 48, 136;519;527.88;3300000001 ХВС;0
900357959;данные отсутствуют;Лемешки с., Гагарина пл, 35, 0;519;83.65
900357999;данные отсутствуют;Ставрово п., Гагарина б-р, 47, 0;519;65.02
900358019;Алексеев А.А.;Гусь-Хрустальный г., Садовая ул, 119А, 10;519;0
900358037;Петров П.П.;Ковров г., Новая пр-кт, 62, 148;519;115.59;3300000001 ХВС;0
900358057;данные отсутствуют;Муром г., Центральная тер, 89, 0;519;242.73
900358075;Васильев Е.Е.;Ставрово п., Улица не указана, Строительная, 0;0;0
900358102;Фёдоров Ф.Ф.;Беречино д., Победы наб, 120, 105;519;77.14;3300000001 ХВС;0
900358122;Лебедев Л.Л.;Семьинское с., Улица не указана, Советская, 0;0;0
900358148;Егоров Е.Е.;Беречино д., Заречная тер, 98, 40;519;0
900358157;Васильев Е.Е.;Собинка г., Лесная б-р, 14, 51;519;329.44;3300000001 ХВС;0
900358166;Васильев Е.Е.;Ковров г., Садовая пер, 125, 19;519;0
900358172;Попов Д.Д.;Лемешки с., Улица не указана, Школьная, 0;0;0
900358177;данные отсутствуют;Сокол п., Комсомольская мкр, 31, 0;519;497.46
900358212;Морозов М.М.;Семьинское с., Колхозная тер, 129, 105;519;0
900358232;Кузнецов А.А.;Боголюбово п., Молодежная мкр, 146, 42;519;132.70;3300000001 ХВС;0
900358249;данные отсутствуют;Телегино д., Новая пр-кт, 57А, 0;519;100.99
900358286;Кузнецов А.А.;Александров г., Улица не указана, Пионерская, 0;0;0
900358305;Кузнецов А.А.;Телегино д., Победы ул, Дом не указан, Квартира не указана;519;228.80
900358315;Сидоров С.С.;Александров г., Улица не указана, Мира, 0;0;0
900358321;данные отсутствуют;Лакинск г., Строительная мкр, 31А, 0;519;495.11
900358360;данные отсутствуют;Камешково г., Комсомольская мкр, 3, 0;519;83.25
900358428;Михайлов М.М.;Лемешки с., Луговая тер, 102, 95;519;463.63;3300000001 ХВС;0
900358429;данные отсутствуют;Собинка г., Гагарина мкр, 35, 0;519;289.61
900358432;Попов Д.Д.;Киржач г., Советская наб, 20, 99;519;0
900358436;Смирнов В.В.;Суздаль г., Пионерская шоссе, 116, 103;519;95.86;3300000001 ХВС;0
900358461;данные отсутствуют;Бавлены п., Новая наб, 122, 0;519;170.42
900358471;Новиков Н.Н.;Муром г., Ленина наб, 139, 34;519;354.68;3300000001 ХВС;0
900358490;Волков В.В.;Муром г., Колхозная наб, Дом не указан, Квартира не указана;519;258.74
900358491;Фёдоров Ф.Ф.;Семьинское с., Улица не указана, Центральная, 0;0;0
900358523;Иванов И.И.;Гусь-Хрустальный г., Пионерская тер, 56, 79;519;0
900358526;данные отсутствуют;Ставрово п., Пушкина ул, 122, 0;519;77.37
900358555;Михайлов М.М.;Собинка г., Центральная пл, Дом не указан, Квартира не указана;519;301.24
900358558;данные отсутствуют;Покров г., Первомайская пер, 117, 0;519;349.10
900358566;Попов Д.Д.;Вязники г., Садовая пл, Дом не указан, Квартира не указана;519;374.12
900358590;Васильев Е.Е.;Покров г., Улица не указана, Советская, 0;0;0
900358594;Лебедев Л.Л.;Боголюбово п., Молодежная пл, 35, 94;519;0
900358636;Лебедев Л.Л.;Боголюбово п., Комсомольская ул, 12, 101;519;0
900358660;данные отсутствуют;Владимир г., Новая мкр, 27, 0;519;333.83
900358684;данные отсутствуют;Суздаль г., Пушкина ул, 54А, 0;519;168.17
900358691;Егоров Е.Е.;Головино п., Пушкина пер, 12А, 146;519;0
900358734;Семёнов С.С.;Бавлены п., Колхозная шоссе, 103, 74;519;0
900358836;Новиков Н.Н.;Юрьевец п., Октябрьская б-р, 4, 8;519;0
900358859;данные отсутствуют;Телегино д., Луговая пер, 11, 0;519;457.26
900358933;Морозов М.М.;Новоселка д., Лесная мкр, 108, 20;519;318.76;3300000001 ХВС;0
900358964;Петров П.П.;Суздаль г., Улица не указана, Молодежная, 0;0;0
900358980;Фёдоров Ф.Ф.;Семьинское с., Мира б-р, 24, 127;519;0
900358984;Новиков Н.Н.;Лемешки с., Гагарина шоссе, 117, 124;519;351.26;3300000001 ХВС;0
900359095;Кузнецов А.А.;Вязники г., Октябрьская тер, 48, 60;519;0
900359185;Михайлов М.М.;Александров г., Новая пл, 109, 137;519;457.39;3300000001 ХВС;0
900359199;данные отсутствуют;Сокол п., Советская тер, 131, 0;519;262.29
900359209;Михайлов М.М.;Сокол п., Набережная пл, Дом не указан, Квартира не указана;519;493.35
900359231;Алексеев А.А.;Лемешки с., Строительная пл, 126, 144;519;0
900359272;Иванов И.И.;Камешково г., Улица не указана, Комсомольская, 0;0;0
900359275;Васильев Е.Е.;Киржач г., Улица не указана, Ленина, 0;0;0
900359342;данные отсутствуют;Юрьевец п., Победы ул, 60, 0;519;50.24
900359364;данные отсутствуют;Ставрово п., Школьная б-р, 7, 0;519;449.87
900359368;Попов Д.Д.;Кольчугино г., Мира тер, 150, 69;519;0
900359371;Петров П.П.;Владимир г., Центральная ул, 136, 36;519;0
900359386;Фёдоров Ф.Ф.;Беречино д., Улица не указана, Советская, 0;0;0
900359406;Сидоров С.С.;Покров г., Садовая наб, 23, 47;519;0
900359412;данные отсутствуют;Лемешки с., Октябрьская пер, 148, 0;519;433.06
900359421;Кузнецов А.А.;Боголюбово п., Центральная б-р, Дом не указан, Квартира не указана;519;507.12
900359474;Алексеев А.А.;Беречино д., Улица не указана, Советская, 0;0;0
900359477;Сидоров С.С.;Беречино д., Улица не указана, Гагарина, 0;0;0
900359487;Петров П.П.;Ставрово п., Школьная пл, 149, 39;519;0
900359553;Новиков Н.Н.;Лемешки с., Новая пр-кт, Дом не указан, Квартира не указана;519;284.31
900359589;Васильев Е.Е.;Киржач г., Пионерская наб, 94, 103;519;0
900359615;Морозов М.М.;Телегино д., Новая пр-кт, 76, 27;519;0
900359672;Смирнов В.В.;Беречино д., Лесная мкр, 75, 82;519;0
900359688;Морозов М.М.;Муром г., Улица не указана, Лесная, 0;0;0
900359693;Морозов М.М.;Муром г., Комсомольская пл, Дом не указан, Квартира не указана;519;427.52
900359701;Алексеев А.А.;Вязники г., Улица не указана, Советская, 0;0;0
900359769;Смирнов В.В.;Новоселка д., Улица не указана, Победы, 0;0;0
900359770;данные отсутствуют;Семьинское с., Свободы пр-кт, 91, 0;519;123.64
900359834;данные отсутствуют;Муром г., Школьная тер, 84, 0;519;235.09
900359847;Сидоров С.С.;Вязники г., Мира тер, 141, 61;519;248.83;3300000001 ХВС;0
900359855;Васильев Е.Е.;Головино п., Полевая б-р, 116, 10;519;438.67;3300000001 ХВС;0
900359882;Алексеев А.А.;Гусь-Хрустальный г., Лесная пр-кт, 105, 113;519;392.28;3300000001 ХВС;0
900359901;Иванов И.И.;Гусь-Хрустальный г., Октябрьская пл, 7А, 110;519;0
900359902;данные отсутствуют;Новоселка д., Новая б-р, 116, 0;519;212.25
900359934;Морозов М.М.;Беречино д., Первомайская ул, Дом не указан, Квартира не указана;519;407.18
900359947;Новиков Н.Н.;Красная Горбатка п., Улица не указана, Мира, 0;0;0
900359963;данные отсутствуют;Александров г., Школьная б-р, 75, 0;519;361.00
900359970;Смирнов В.В.;Семьинское с., Улица не указана, Набережная, 0;0;0
900359984;Васильев Е.Е.;Боголюбово п., Улица не указана, Новая, 0;0;0
900359995;Кузнецов А.А.;Ковров г., Набережная пр-кт, Дом не указан, Квартира не указана;519;175.91
900360068;данные отсутствуют;Камешково г., Первомайская пл, 37, 0;519;243.10
900360088;Волков В.В.;Муром г., Садовая шоссе, 125, 122;519;69.53;3300000001 ХВС;0
900360112;данные отсутствуют;Камешково г., Гагарина б-р, 69, 0;519;137.33
900360162;Васильев Е.Е.;Беречино д., Улица не указана, Первомайская, 0;0;0
900360174;Новиков Н.Н.;Юрьевец п., Комсомольская наб, 146, 83;519;89.86;3300000001 ХВС;0
900360181;Васильев Е.Е.;Собинка г., Пушкина ул, 108, 5;519;254.05;3300000001 ХВС;0
900360234;Морозов М.М.;Вязники г., Первомайская б-р, 19, 90;519;0
900360253;Иванов И.И.;Бавлены п., Гагарина пер, Дом не указан, Квартира не указана;519;80.20
900360306;Васильев Е.Е.;Семьинское с., Свободы ул, 56, 44;519;168.36;3300000001 ХВС;0
900360316;Алексеев А.А.;Вязники г., Колхозная тер, 109, 104;519;424.28;3300000001 ХВС;0
900360333;Михайлов М.М.;Камешково г., Набережная наб, 29А, 6;519;0
900360353;Новиков Н.Н.;Новоселка д., Мира пл, 3, 85;519;0
900360362;Волков В.В.;Камешково г., Свободы наб, 116, 105;519;0
900360377;Михайлов М.М.;Владимир г., Школьная ул, 87, 143;519;227.55;3300000001 ХВС;0
900360378;Лебедев Л.Л.;Покров г., Новая мкр, 53, 123;519;0
900360381;Новиков Н.Н.;Семьинское с., Первомайская шоссе, Дом не указан, Квартира не указана;519;289.02
900360419;Васильев Е.Е.;Вязники г., Мира ул, 87, 51;519;0
900360460;Кузнецов А.А.;Красная Горбатка п., Улица не указана, Школьная, 0;0;0
900360501;Егоров Е.Е.;Ковров г., Улица не указана, Колхозная, 0;0;0
900360503;данные отсутствуют;Александров г., Колхозная тер, 18, 0;519;511.69
900360513;Михайлов М.М.;Покров г., Полевая б-р, Дом не указан, Квартира не указана;519;95.41
900360528;Иванов И.И.;Александров г., Улица не указана, Первомайская, 0;0;0
900360564;Лебедев Л.Л.;Боголюбово п., Улица не указана, Мира, 0;0;0
900360607;Кузнецов А.А.;Муром г., Школьная шоссе, 134, 61;519;0
900360625;Фёдоров Ф.Ф.;Новоселка д., Улица не указана, Советская, 0;0;0
900360642;Попов Д.Д.;Александров г., Улица не указана, Школьная, 0;0;0
900360645;Фёдоров Ф.Ф.;Покров г., Октябрьская тер, Дом не указан, Квартира не указана;519;528.32
900360653;Волков В.В.;Кольчугино г., Луговая мкр, Дом не указан, Квартира не указана;519;134.10
900360659;данные отсутствуют;Киржач г., Колхозная шоссе, 65, 0;519;180.84
900360691;Фёдоров Ф.Ф.;Ковров г., Гагарина пл, 100, 142;519;0
900360714;данные отсутствуют;Семьинское с., Гагарина тер, 8, 0;519;409.64
900360728;Михайлов М.М.;Ковров г., Первомайская наб, 68, 1;519;0
900360744;Волков В.В.;Александров г., Молодежная ул, 94, 34;519;0
900360749;Васильев Е.Е.;Вязники г., Улица не указана, Колхозная, 0;0;0
900360834;данные отсутствуют;Камешково г., Гагарина наб, 31, 0;519;257.06
900360893;Смирнов В.В.;Боголюбово п., Колхозная пл, 104А, 143;519;0
900360929;данные отсутствуют;Покров г., Заречная тер, 4А, 0;519;492.03
900360937;Семёнов С.С.;Боголюбово п., Полевая мкр, 136, 30;519;116.27;3300000001 ХВС;0
900360979;Семёнов С.С.;Кольчугино г., Колхозная мкр, 1, 115;519;82.77;3300000001 ХВС;0
900361002;Егоров Е.Е.;Суздаль г., Улица не указана, Луговая, 0;0;0
900361008;Петров П.П.;Александров г., Советская шоссе, Дом не указан, Квартира не указана;519;457.83
900361025;Иванов И.И.;Бавлены п., Победы мкр, Дом не указан, Квартира не указана;519;548.87
900361089;Алексеев А.А.;Собинка г., Улица не указана, Набережная, 0;0;0
900361091;Иванов И.И.;Лемешки с., Луговая ул, Дом не указан, Квартира не указана;519;241.50
900361138;Васильев Е.Е.;Бавлены п., Гагарина пер, Дом не указан, Квартира не указана;519;76.03
900361141;Морозов М.М.;Покров г., Лесная б-р, Дом не указан, Квартира не указана;519;239.71
900361171;Сидоров С.С.;Вязники г., Ленина наб, 93, 79;519;158.12;3300000001 ХВС;0
900361178;Волков В.В.;Сокол п., Улица не указана, Заречная, 0;0;0
900361180;Петров П.П.;Владимир г., Улица не указана, Колхозная, 0;0;0
900361210;данные отсутствуют;Юрьевец п., Центральная ул, 124, 0;519;536.41
900361238;данные отсутствуют;Головино п., Пушкина пер, 44, 0;519;407.83
900361243;данные отсутствуют;Телегино д., Набережная пл, 66, 0;519;431.35
900361249;Петров П.П.;Вязники г., Мира мкр, Дом не указан, Квартира не указана;519;108.45
900361261;Иванов И.И.;Головино п., Гагарина наб, Дом не указан, Квартира не указана;519;267.92
900361266;данные отсутствуют;Покров г., Свободы тер, 62, 0;519;411.88
900361267;Егоров Е.Е.;Суздаль г., Гагарина ул, 62А, 1;519;133.87;3300000001 ХВС;0
900361289;Морозов М.М.;Сокол п., Улица не указана, Мира, 0;0;0
900361307;Кузнецов А.А.;Семьинское с., Комсомольская ул, 17, 9;519;259.84;3300000001 ХВС;0
900361322;Волков В.В.;Муром г., Улица не указана, Победы, 0;0;0
900361323;данные отсутствуют;Семьинское с., Первомайская тер, 130, 0;519;168.74
900361357;Морозов М.М.;Лемешки с., Центральная пл, 124, 107;519;474.34;3300000001 ХВС;0
900361358;данные отсутствуют;Ставрово п., Строительная тер, 148, 0;519;194.03
900361396;Смирнов В.В.;Суздаль г., Улица не указана, Октябрьская, 0;0;0
900361398;Семёнов С.С.;Камешково г., Луговая ул, 24, 81;519;500.40;3300000001 ХВС;0
900361427;Семёнов С.С.;Семьинское с., Октябрьская пл, Дом не указан, Квартира не указана;519;218.85
900361456;Фёдоров Ф.Ф.;Кольчугино г., Улица не указана, Садовая, 0;0;0
900361463;данные отсутствуют;Семьинское с., Ленина наб, 2, 0;519;66.44
900361497;Егоров Е.Е.;Собинка г., Октябрьская шоссе, 111А, 83;519;267.14;3300000001 ХВС;0
900361511;Егоров Е.Е.;Семьинское с., Советская шоссе, 74, 20;519;0
900361513;Попов Д.Д.;Камешково г., Пушкина пл, Дом не указан, Квартира не указана;519;373.84
900361598;Кузнецов А.А.;Сокол п., Колхозная б-р, 146, 70;519;0
900361613;Васильев Е.Е.;Беречино д., Луговая ул, 31, 113;519;0
900361618;данные отсутствуют;Камешково г., Молодежная шоссе, 73, 0;519;171.31
900361619;Васильев Е.Е.;Беречино д., Пушкина б-р, Дом не указан, Квартира не указана;519;83.89
900361625;Иванов И.И.;Ковров г., Колхозная пер, 134, 53;519;328.98;3300000001 ХВС;0
900361692;Кузнецов А.А.;Вязники г., Улица не указана, Свободы, 0;0;0
900361815;Петров П.П.;Боголюбово п., Улица не указана, Заречная, 0;0;0
900361820;данные отсутствуют;Владимир г., Строительная пер, 88, 0;519;206.14
900361878;Фёдоров Ф.Ф.;Киржач г., Мира пл, 49, 122;519;336.98;3300000001 ХВС;0
900361952;данные отсутствуют;Беречино д., Мира мкр, 147, 0;519;530.10
900361972;Лебедев Л.Л.;Муром г., Школьная ул, Дом не указан, Квартира не указана;519;520.56
900361994;Попов Д.Д.;Боголюбово п., Лесная пер, Дом не указан, Квартира не указана;519;239.58
900362013;Алексеев А.А.;Киржач г., Полевая пр-кт, Дом не указан, Квартира не указана;519;138.95
900362015;Иванов И.И.;Ковров г., Строительная б-р, Дом не указан, Квартира не указана;519;102.36
900362044;Семёнов С.С.;Боголюбово п., Полевая шоссе, Дом не указан, Квартира не указана;519;206.41
900362052;Петров П.П.;Лакинск г., Луговая б-р, Дом не указан, Квартира не указана;519;56.00
900362053;Сидоров С.С.;Гусь-Хрустальный г., Улица не указана, Строительная, 0;0;0
900362068;Фёдоров Ф.Ф.;Семьинское с., Набережная пл, 55, 143;519;363.28;3300000001 ХВС;0
900362080;данные отсутствуют;Новоселка д., Первомайская мкр, 89, 0;519;289.72
900362091;Семёнов С.С.;Ковров г., Мира пр-кт, Дом не указан, Квартира не указана;519;155.74
900362101;Фёдоров Ф.Ф.;Новоселка д., Первомайская пл, 88, 84;519;129.47;3300000001 ХВС;0
900362179;Смирнов В.В.;Суздаль г., Пушкина шоссе, 86, 41;519;0
900362217;Смирнов В.В.;Ковров г., Улица не указана, Колхозная, 0;0;0
900362218;Новиков Н.Н.;Бавлены п., Победы мкр, 45, 118;519;0
900362230;Васильев Е.Е.;Красная Горбатка п., Улица не указана, Молодежная, 0;0;0
900362238;Морозов М.М.;Головино п., Комсомольская пр-кт, Дом не указан, Квартира не указана;519;96.50
900362285;Васильев Е.Е.;Лемешки с., Луговая пл, Дом не указан, Квартира не указана;519;57.85
900362291;Сидоров С.С.;Вязники г., Строительная б-р, 3, 67;519;408.80;3300000001 ХВС;0
900362337;Семёнов С.С.;Камешково г., Заречная наб, 128, 87;519;0
900362358;Иванов И.И.;Камешково г., Советская пр-кт, 14, 110;519;0
900362421;Фёдоров Ф.Ф.;Покров г., Улица не указана, Луговая, 0;0;0
900362439;Смирнов В.В.;Суздаль г., Улица не указана, Луговая, 0;0;0
900362441;Кузнецов А.А.;Новоселка д., Комсомольская ул, 122, 16;519;290.56;3300000001 ХВС;0
900362480;Попов Д.Д.;Муром г., Пушкина мкр, 51, 112;519;271.13;3300000001 ХВС;0
900362484;Васильев Е.Е.;Собинка г., Гагарина пл, Дом не указан, Квартира не указана;519;433.54
900362505;данные отсутствуют;Боголюбово п., Школьная ул, 107, 0;519;525.76
900362513;Михайлов М.М.;Владимир г., Советская пл, 2, 132;519;156.33;3300000001 ХВС;0
900362554;Семёнов С.С.;Ковров г., Улица не указана, Октябрьская, 0;0;0
900362575;Кузнецов А.А.;Лемешки с., Набережная б-р, 86, 43;519;543.88;3300000001 ХВС;0
900362600;Морозов М.М.;Муром г., Улица не указана, Полевая, 0;0;0
900362662;Васильев Е.Е.;Камешково г., Улица не указана, Заречная, 0;0;0
900362666;Михайлов М.М.;Камешково г., Улица не указана, Молодежная, 0;0;0
900362668;Смирнов В.В.;Камешково г., Улица не указана, Молодежная, 0;0;0
900362690;данные отсутствуют;Новоселка д., Школьная пр-кт, 69, 0;519;322.76
900362728;данные отсутствуют;Лемешки с., Набережная ул, 80, 0;519;382.07
900362767;Кузнецов А.А.;Сокол п., Улица не указана, Новая, 0;0;0
900362770;Морозов М.М.;Головино п., Школьная наб, Дом не указан, Квартира не указана;519;428.71
900362786;данные отсутствуют;Александров г., Гагарина ул, 66, 0;519;523.48
900362804;Попов Д.Д.;Камешково г., Советская б-р, Дом не указан, Квартира не указана;519;203.18
900362841;Смирнов В.В.;Сокол п., Мира б-р, 80, 23;519;0
900362852;Сидоров С.С.;Новоселка д., Улица не указана, Ленина, 0;0;0
900362891;данные отсутствуют;Покров г., Гагарина пр-кт, 83, 0;519;275.41
900362930;Лебедев Л.Л.;Красная Горбатка п., Новая мкр, 47, 83;519;0
900362941;данные отсутствуют;Владимир г., Набережная тер, 135, 0;519;204.02
900362955;Кузнецов А.А.;Боголюбово п., Первомайская ул, Дом не указан, Квартира не указана;519;286.49
900363011;Лебедев Л.Л.;Муром г., Садовая наб, 8, 20;519;0
900363025;Смирнов В.В.;Киржач г., Пушкина шоссе, 137, 47;519;253.92;3300000001 ХВС;0
900363034;Морозов М.М.;Беречино д., Улица не указана, Строительная, 0;0;0
900363082;Смирнов В.В.;Бавлены п., Улица не указана, Пушкина, 0;0;0
900363088;Петров П.П.;Камешково г., Полевая пл, 7, 88;519;0
900363123;Кузнецов А.А.;Муром г., Полевая пер, Дом не указан, Квартира не указана;519;93.78
900363137;данные отсутствуют;Лемешки с., Луговая мкр, 92А, 0;519;282.71
900363231;Сидоров С.С.;Собинка г., Садовая шоссе, Дом не указан, Квартира не указана;519;258.08
900363236;Лебедев Л.Л.;Кольчугино г., Лесная пр-кт, Дом не указан, Квартира не указана;519;260.29
900363275;Кузнецов А.А.;Муром г., Пушкина пр-кт, 74, 136;519;501.86;3300000001 ХВС;0
900363285;Сидоров С.С.;Боголюбово п., Лесная пр-кт, Дом не указан, Квартира не указана;519;539.06
900363322;данные отсутствуют;Суздаль г., Пушкина б-р, 143, 0;519;190.84
900363390;Волков В.В.;Вязники г., Пионерская пр-кт, 11А, 67;519;242.41;3300000001 ХВС;0
900363393;Смирнов В.В.;Сокол п., Улица не указана, Набережная, 0;0;0
900363401;Новиков Н.Н.;Бавлены п., Советская шоссе, 116, 41;519;0
900363406;Морозов М.М.;Сокол п., Свободы шоссе, Дом не указан, Квартира не указана;519;218.56
900363417;Кузнецов А.А.;Владимир г., Полевая наб, 137, 109;519;308.67;3300000001 ХВС;0
900363451;Фёдоров Ф.Ф.;Беречино д., Центральная пр-кт, Дом не указан, Квартира не указана;519;139.30
900363457;Иванов И.И.;Александров г., Садовая наб, 55, 31;519;0
900363488;Семёнов С.С.;Новоселка д., Садовая пер, 13, 53;519;200.11;3300000001 ХВС;0
900363517;Сидоров С.С.;Головино п., Гагарина мкр, 87, 4;519;0
900363545;Васильев Е.Е.;Головино п., Мира пер, 133, 23;519;321.91;3300000001 ХВС;0
900363560;Морозов М.М.;Беречино д., Центральная б-р, 1, 32;519;238.92;3300000001 ХВС;0
900363568;Кузнецов А.А.;Юрьевец п., Садовая наб, Дом не указан, Квартира не указана;519;176.92
900363596;Попов Д.Д.;Камешково г., Комсомольская тер, 64, 136;519;0
900363616;Петров П.П.;Суздаль г., Ленина тер, 145, 36;519;441.58;3300000001 ХВС;0
900363629;Петров П.П.;Гусь-Хрустальный г., Улица не указана, Набережная, 0;0;0
900363643;Семёнов С.С.;Новоселка д., Пионерская б-р, 63, 145;519;0
900363709;Попов Д.Д.;Муром г., Улица не указана, Мира, 0;0;0
900363746;данные отсутствуют;Беречино д., Колхозная пр-кт, 150А, 0;519;78.70
900363755;Алексеев А.А.;Вязники г., Луговая мкр, Дом не указан, Квартира не указана;519;494.43
900363779;Лебедев Л.Л.;Ставрово п., Набережная пр-кт, Дом не указан, Квартира не указана;519;139.10
900363805;Морозов М.М.;Александров г., Молодежная тер, Дом не указан, Квартира не указана;519;400.14
900363893;Кузнецов А.А.;Сокол п., Строительная наб, 130, 31;519;255.98;3300000001 ХВС;0
900363894;Сидоров С.С.;Кольчугино г., Улица не указана, Комсомольская, 0;0;0
900363900;Морозов М.М.;Головино п., Октябрьская пл, 77, 79;519;0
900363917;Егоров Е.Е.;Боголюбово п., Пионерская ул, Дом не указан, Квартира не указана;519;485.96
900363919;Попов Д.Д.;Александров г., Молодежная шоссе, 123А, 1;519;0
900363988;Михайлов М.М.;Семьинское с., Улица не указана, Луговая, 0;0;0
900363990;Васильев Е.Е.;Владимир г., Садовая пл, 150, 66;519;198.12;3300000001 ХВС;0
900364021;Васильев Е.Е.;Новоселка д., Улица не указана, Заречная, 0;0;0
900364024;данные отсутствуют;Красная Горбатка п., Победы шоссе, 15, 0;519;75.46
900364039;Михайлов М.М.;Александров г., Молодежная б-р, 27, 83;519;309.27;3300000001 ХВС;0
900364070;Волков В.В.;Суздаль г., Улица не указана, Первомайская, 0;0;0
900364092;Михайлов М.М.;Ковров г., Гагарина наб, 96, 0;519;0
900364099;Волков В.В.;Покров г., Полевая пр-кт, Дом не указан, Квартира не указана;519;238.30
900364136;Сидоров С.С.;Ставрово п., Пионерская шоссе, Дом не указан, Квартира не указана;519;157.10
900364162;Иванов И.И.;Ставрово п., Победы пр-кт, Дом не указан, Квартира не указана;519;275.66
900364185;Алексеев А.А.;Юрьевец п., Молодежная пер, Дом не указан, Квартира не указана;519;502.43
900364190;Кузнецов А.А.;Ковров г., Ленина б-р, Дом не указан, Квартира не указана;519;441.66
900364244;Смирнов В.В.;Покров г., Улица не указана, Молодежная, 0;0;0
900364247;Михайлов М.М.;Красная Горбатка п., Луговая пер, 102, 82;519;0
900364293;Фёдоров Ф.Ф.;Телегино д., Заречная мкр, 32, 81;519;0
900364337;Михайлов М.М.;Красная Горбатка п., Молодежная б-р, Дом не указан, Квартира не указана;519;298.91
900364362;Иванов И.И.;Юрьевец п., Колхозная ул, Дом не указан, Квартира не указана;519;217.93
900364390;Волков В.В.;Ковров г., Ленина пер, Дом не указан, Квартира не указана;519;271.07
900364408;Волков В.В.;Бавлены п., Улица не указана, Садовая, 0;0;0
900364414;Смирнов В.В.;Суздаль г., Советская пер, 86, 132;519;0
